Ticker,forwardPE,revenueGrowth,overallRisk, netIncomeToCommon ,auditRisk,beta,boardRisk,compensationRisk,currentRatio,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,forwardEps,heldPercentInsiders,heldPercentInstitutions,industry,netIncomeToCommon,pegRatio,quickRatio,recommendationMean,returnOnAssets,returnOnEquity,revenuePerShare,sector,shareHolderRightsRisk,sharesShort,sharesShortPriorMonth,shortRatio,trailingEps
BIIB,12.877595,0.09,1," 2,968,199,936.00 ",1,1.398122,3,3,2.358,48.38,0.027,0.004,0.53411,10.647,5.687,27.45,0.39%,91.17%,Biotechnology,2968199936,1.78,1.795,2,0.16898,0.26407,61.195,Healthcare,3,3346521,3906614,1.76,14.084
AET,16.348572,0.002,6," 3,503,000,064.00 ",1,0.772363,7,7,1.082,46.172,0.019,0.007,0.100360006,10.478,1.052,12.25,0.38%,86.86%,Health Care Plans,3503000064,1.83,0.839,2.5,0.0594,0.21284,185.192,Healthcare,5,4865902,4256256,2.52,10.608
MKSI,10.153006,0.192,6," 381,615,008.00 ",1,0.920806,6,4,5.026,19.685,0.014,0.02,0.28177,7.997,2.253,9.15,1.56%,93.49%,Scientific & Technical Instruments,381615008,0.81,3.454,1.6,0.13069001,0.23621,39.046,Technology,9,836903,1221912,1.28,6.912
IBM,10.433048,0.037,10," 5,751,000,064.00 ",2,1.037999,7,10,1.32,244.428,0.054,0.031,0.21088,9.816,2.07,14.04,0.11%,57.86%,Information Technology Services,5751000064,11.01,1.13,2.6,0.06442,0.30926,87.564,Technology,2,15145841,15164536,3.23,6.208
JNJ,15.67986,0.106,3," 1,372,000,000.00 ",2,0.598498,4,3,1.653,51.015,0.036,0.033,0.33166,14.05,4.66,8.59,0.07%,68.78%,Drug Manufacturers - Major,1372000000,2.14,1.173,2.3,0.07998,0.020350002,30.067,Healthcare,4,14034703,16686830,2.22,0.503
LOGI,24.36946,0.148,3," 210,000,992.00 ",2,1.134182,3,2,1.819,,0.045,0.039,0.11131,25.766,2.868,2.03,,,Computer Systems,210000992,1.77,1.396,2.2,0.0856,0.20941,16.08,Technology,2,1259901,1828574,4.02,1.24
VRSN,30.560694,0.048,3," 480,350,016.00 ",1,0.740145,6,3,1.334,,0.051,0.043,0.65970004,25.342,16.718,5.19,1.04%,91.22%,Internet Content & Information,480350016,4.3,1.283,3.3,0.21615,,11.633,Technology,3,2220801,2623061,3.64,3.879
HDS,13.941896,0.142,5," 198,000,000.00 ",2,1.423245,5,5,2.151,146.546,0.133,0.047,0.13506,14.55,1.965,3.27,0.35%,97.26%,Industrial Distribution,198000000,1.61,1.095,1.9,0.07754,0.15149,28.139,Industrials,8,3366417,3520262,3.54,5.14
GD,15.774877,0.197,1," 2,984,999,936.00 ",1,0.872369,5,1,1.196,119.043,0.069,0.049,0.14451,14.747,2.131,12.26,5.81%,86.07%,Aerospace & Defense,2984999936,1.39,0.776,2,0.06424,0.26018,109.72,Industrials,1,2776049,2947572,1.89,9.886
GPOR,8.6470585,0.243,3," 376,169,984.00 ",1,-0.28134,4,7,0.533,66.21,0.105,0.051,0.63854,4.974,3.176,1.36,13.46%,97.94%,Oil & Gas E&P,376169984,0.89,0.485,2.1,0.03829,0.12312999,6.955,Energy,2,13149883,14035448,4,2.077
SWK,14.934113,0.109,7," 1,018,899,968.00 ",1,1.287803,2,4,0.944,60.401,0.06,0.058,0.15988,12.499,1.998,9.41,0.72%,86.42%,Tools & Accessories,1018899968,1.55,0.45,2.2,0.05244,0.12807,89.712,Industrials,10,2967297,2182656,1.85,6.653
LEA,7.7681994,0.089,1," 1,340,700,032.00 ",1,1.300769,1,3,1.352,42.654,0.076,0.063,0.105459996,5.112,0.539,20.88,0.17%,99.24%,Auto Parts,1340700032,0.64,0.99,2.4,0.09652001,0.35076,322.067,Consumer Cyclical,1,2604623,3046942,3.29,19.745
GT,6.427762,0.042,3," 265,000,000.00 ",1,1.620016,5,1,1.359,131.028,0.121,0.068,0.12699,5.633,0.715,3.53,0.33%,92.67%,Rubber & Plastics,265000000,1.25,0.689,2.3,0.04343,0.05726,64.457,Consumer Cyclical,6,15051657,14747923,3.86,1.073
COST,30.15912,0.121,8," 3,009,999,872.00 ",2,0.994127,7,9,1.015,52.157,0.069,0.071,0.042529996,17.026,0.724,7.73,0.63%,73.46%,Discount Stores,3009999872,2.72,0.445,2,0.074499995,0.27024,318.136,Consumer Defensive,8,5932126,6552966,3.21,6.829
LOW,18.125,0.071,3," 3,923,000,064.00 ",2,1.384087,3,4,1.062,273.845,0.107,0.071,0.11083,12.883,1.428,6,0.16%,74.97%,Home Improvement Stores,3923000064,1.35,0.181,1.9,0.10661,0.69541,85.572,Consumer Cyclical,3,8934604,8740954,2.6,4.754
SAP,21.192919,0.038,9," 4,958,112,256.00 ",1,1.195519,8,10,1.001,29.681,0.082,0.076,0.26248,20.457,5.37,5.65,0.00%,6.58%,Software - Application,4958112256,2.47,0.913,2.2,0.07463,0.17018,23.08,Technology,1,2804818,2471112,3.08,4.15
CDNS,25.565218,0.082,5," 214,748,992.00 ",1,1.221964,3,3,1.298,54.278,0.08,0.087,0.23074,28.128,6.49,1.84,1.17%,91.54%,Software - Application,214748992,2.33,1.21,2.2,0.09129,0.20072001,7.398,Technology,7,4847347,5497892,3.2,0.771
TSM,17.03125,0.091,," 11,601,751,040.00 ",,0.973297,,,2.071,8.73,0.091,0.091,0.66470003,9.27,6.162,2.56,0.03%,19.65%,Semiconductors,11601751040,1.26,1.843,2.2,0.120579995,0.24937001,6.405,Technology,,20053825,18295842,2.51,2.235
TECK,8.035336,0.065,7," 2,079,260,288.00 ",2,1.622793,5,5,2.375,30.969,0.101,0.093,0.42534,4.302,1.83,2.83,,,Industrial Metals & Minerals,2079260288,-0.85,1.277,2.2,0.07706,0.13991,16.292,Basic Materials,10,5271545,9190942,2.19,3.556
ESRX,9.216753,0.012,2," 4,669,799,936.00 ",1,1.116558,7,2,0.709,77.37,0.131,0.094,0.07195,8.553,0.615,9.55,0.45%,86.81%,Health Care Plans,4669799936,0.93,0.553,2.7,0.06568,0.26654,177.719,Healthcare,3,16240454,13104769,3.27,8.211
VTR,37.654087,0.043,4," 1,251,778,048.00 ",1,0.305685,7,4,0.555,96.079,0.095,0.097,0.51168996,17.024,8.711,1.59,0.39%,87.92%,REIT - Healthcare Facilities,1251778048,6.52,0.399,3.1,0.027139999,0.11733,10.24,Real Estate,5,7204096,7063331,3.08,3.478
MSFT,22.877802,0.175,1," 16,570,999,808.00 ",1,1.249269,1,3,2.901,105.791,0.108,0.1,0.40737,18.068,7.36,4.91,1.39%,74.57%,Software - Infrastructure," 16,570,999,808.00 ",2.11,2.738,1.7,0.08607,0.19445999,14.332,Technology,1," 44,633,868.00 "," 47,158,592.00 ",1.69,2.13
NXPI,11.849873,0.04,4," 973,000,000.00 ",1,0.657525,1,6,2.979,38.469,0.121,0.102,0.29738,9.202,2.737,7.86,1.42%,85.43%,Semiconductors,973000000,0.96,2.038,2.5,0.020750001,0.076869994,27.482,Technology,10,13244157,7537795,1.16,2.805
KSU,16.49502,0.04,8," 973,500,032.00 ",2,0.649585,2,10,1.197,53.903,0.142,0.103,0.48101002,11.67,5.613,7.03,0.57%,90.26%,Railroads,973500032,1.39,0.706,2.2,0.06397,0.20537001,25.612,Industrials,3,2379148,2600092,2.46,9.421
FDX,12.185314,0.101,4," 4,566,000,128.00 ",2,1.560926,5,6,1.386,85.419,0.108,0.105,0.12747,9.461,1.206,20.02,7.60%,74.57%,Integrated Shipping & Logistics,4566000128,1.07,1.22,1.9,0.06503,0.25766,245.131,Industrials,4,4129380,4553086,3.01,16.79
NKE,26.261978,0.128,10," 1,932,999,936.00 ",2,0.563096,7,3,2.506,38.83,0.16,0.128,0.14339,24.689,3.54,3.13,1.72%,82.71%,Footwear & Accessories,1932999936,2.51,1.448,2.3,0.12133,0.17399,22.415,Consumer Cyclical,10,12056907,12022562,2.21,1.17
V,27.6109,0.148,1," 9,264,000,000.00 ",1,0.971877,2,1,1.691,49.904,0.162,0.131,0.68267,24.623,16.809,5.32,0.11%,94.34%,Credit Services,9264000000,1.67,1.348,1.8,0.12637,0.29408002,8.881,Financial Services,3,29732000,28213960,4.08,4.096
ITW,16.85437,0.064,2," 1,882,000,000.00 ",1,1.261135,5,5,1.725,195.855,0.166,0.135,0.27229,12.952,3.527,8.24,0.22%,78.26%,Diversified Industrials,1882000000,1.48,1.27,2.7,0.14191,0.43962002,43.502,Industrials,2,3470390,3136605,1.86,5.478
PRTY,7.4514565,0.03,10," 222,395,008.00 ",2,2.084228,10,8,1.274,193.436,0.388,0.14,0.15737,8.824,1.389,2.06,4.95%,107.66%,Specialty Retail,222395008,0.38,0.246,2.2,0.0529,0.21739,22.595,Consumer Cyclical,6,6202635,7401662,4.77,2.045
MGA,7.2839837,0.125,2," 2,367,000,064.00 ",1,1.364078,1,6,1.174,37.414,0.229,0.142,0.10284001,5.396,0.555,7.43,1.32%,12.39%,Auto Parts,2367000064,0.74,0.805,2.4,0.071890004,0.21086,116.849,Consumer Cyclical,3,3507590,3522343,1.8,6.542
NCLH,10.3494215,0.132,7," 829,320,000.00 ",1,1.733132,9,8,0.203,120.085,0.161,0.142,0.29062,11.094,3.224,5.18,2.08%,100.62%,Leisure,829320000,0.84,0.076,1.8,0.04768,0.15531999,25.201,Consumer Cyclical,3,6129529,4521326,2.95,3.622
DM,11.884058,1.14,," 148,000,000.00 ",,1.946941,,,1.417,11.393,0.155,0.149,0.58919,22.372,13.181,1.38,22.80%,0.00%,Oil & Gas Midstream,148000000,0.73,0.653,2.8,0.01799,0.03455,5.924,Energy,,1185683,1029546,0.8,1.411
WBA,10.629457,0.14,1," 4,313,999,872.00 ",1,0.876191,3,5,0.93,52.845,0.262,0.155,0.06491,9.761,0.634,6.45,14.86%,64.07%,Pharmaceutical Retailers,4313999872,0.97,0.418,2.7,0.05941,0.14423999,126.836,Consumer Defensive,1,31651003,28307872,4.55,4.248
SYK,21.338789,0.103,2," 1,080,000,000.00 ",1,0.399178,6,4,1.832,76.131,0.155,0.156,0.27331,19.218,5.253,7.94,7.90%,77.04%,Medical Devices,1080000000,2.33,0.991,2,0.0837,0.1108,34.857,Healthcare,2,3360975,4174018,2.72,2.832
BLD,12.1640625,0.277,6," 189,924,000.00 ",1,0.47973,8,1,1.56,70.569,0.206,0.157,0.10572,12.912,1.365,5.12,0.71%,100.53%,Building Materials,189924000,,1.119,1.9,0.05885,0.18908001,59.591,Basic Materials,8,776173,1375496,2.31,5.301
PWR,10.877358,0.207,10," 314,852,992.00 ",1,0.699352,3,9,1.819,23.183,0.171,0.165,0.06791,8.523,0.579,3.18,0.62%,88.95%,Engineering & Construction,314852992,0.79,1.645,1.8,0.04533,0.08851,65.079,Industrials,10,3014267,4204142,1.99,1.999
UNM,6.804428,0.024,2," 1,078,200,064.00 ",1,1.412823,1,1,8.481,33.928,0.206,0.165,0.1459,5.814,0.848,5.42,0.44%,97.06%,Insurance - Life,1078200064,0.8,3.138,2.9,0.01561,0.114930004,51.351,Financial Services,7,5577656,4482043,3.24,4.82
AFL,11.088729,0.03,7," 4,848,999,936.00 ",1,0.839993,7,10,0.378,37.928,0.202,0.167,0.20838,8.869,1.848,4.17,2.17%,70.47%,Insurance - Life,4848999936,1.34,0.259,2.8,0.020539999,0.21406999,28.324,Financial Services,1,11236872,13243341,3.72,6.164
ALL,11.063807,0.029,1," 3,440,000,000.00 ",1,0.868848,3,6,0.465,27.883,0.208,0.168,0.1345,7.594,1.021,9.09,0.31%,78.62%,Insurance - Property & Casualty,3440000000,0.84,0.23,2.3,0.02644,0.15983,109.525,Financial Services,1,5228168,4735655,2.83,9.519
MMM,18.781836,0.074,2," 4,410,999,808.00 ",1,1.124864,4,4,1.56,139.394,0.19,0.173,0.25982,15.811,4.108,11.23,7.74%,10.42%,Diversified Industrials,4410999808,2.1,0.963,2.9,0.12213001,0.40105,55.144,Industrials,2,6841239,7732425,2.95,7.228
XOM,14.576364,0.264,9," 20,949,999,616.00 ",1,0.80013,9,10,0.81,21.299,0.179,0.179,0.1399,10.487,1.467,5.5,0.09%,54.55%,Oil & Gas Integrated,20949999616,0.8,0.487,2.8,0.03356,0.1121,61.699,Energy,1,27366090,32220387,2.66,4.907
CNC,17.563549,0.127,8," 1,075,000,064.00 ",1,1.155665,8,8,1.255,59.908,0.042,0.181,0.046430003,12.993,0.603,8.34,2.29%,92.49%,Health Care Plans,1075000064,1.13,1.152,2.1,0.04587,0.12311,272.286,Healthcare,9,3587311,4873366,2.56,5.878
ETN,14.139456,0.069,6," 3,132,999,936.00 ",1,1.237231,6,6,1.469,46.26,0.209,0.182,0.17281,11.893,2.055,5.88,0.25%,81.52%,Diversified Industrials,3132999936,1.65,0.879,2.1,0.05416,0.19388,48.178,Industrials,6,11045793,11394551,4.21,7.097
MXIM,18.213856,0.052,1," 467,318,016.00 ",2,1.60748,1,2,4.026,77.193,0.237,0.189,0.40095,15.801,6.335,3.32,0.78%,93.90%,Semiconductors,467318016,1.45,3.645,2.5,0.11769,0.22611,8.827,Technology,3,5053453,5242660,2.56,1.64
ECL,24.955223,0.066,2," 1,558,200,064.00 ",1,0.849659,4,5,1.272,91.264,0.2,0.192,0.21029,16.735,3.519,6.03,0.49%,88.78%,Specialty Chemicals,1558200064,2.04,0.78,2.4,0.066539995,0.21086,49.771,Basic Materials,2,5115861,6297773,4.56,5.314
GPC,16.895094,0.176,6," 670,172,992.00 ",1,1.185383,7,4,1.33,89.182,0.194,0.195,0.0734,13.512,0.992,5.91,2.83%,80.01%,Specialty Retail,670172992,1.39,0.535,3,0.06215,0.19528,120.73,Consumer Cyclical,8,3706046,4390143,4.84,4.558
THO,10.004193,0.117,4," 461,409,984.00 ",1,1.288739,5,2,1.668,4.288,0.199,0.202,0.09277,6.33,0.587,9.54,5.33%,90.38%,Recreational Vehicles,461409984,0.65,0.941,1.6,0.1566,0.27649,159.356,Consumer Cyclical,6,3273321,4013899,3.47,8.729
PH,14.115757,0.092,7," 1,060,801,024.00 ",1,1.255044,7,3,1.59,84.512,0.213,0.204,0.16992001,11.265,1.914,12.44,0.46%,84.09%,Diversified Industrials,1060801024,1.91,0.994,2.5,0.07969,0.19066,107.533,Industrials,9,2582524,2409864,2,7.83
MRVL,13.786667,0.056,8," 462,161,984.00 ",10,1.072005,7,9,5.506,,0.181,0.206,0.2579,13.571,3.5,1.5,4.28%,85.09%,Semiconductors,462161984,1.22,4.968,2.1,0.07157,0.112069994,4.918,Technology,1,13054748,22657153,1.79,1.059
XLNX,23.656536,0.135,3," 545,174,976.00 ",1,0.759943,2,8,4.377,75.182,0.254,0.209,0.35462,19.271,6.834,3.29,0.21%,90.30%,Semiconductors,545174976,1.63,4.054,2.4,0.101689994,0.22448999,10.449,Technology,2,4482284,4923255,1.98,2.137
TSN,10.53859,0.02,10," 2,880,999,936.00 ",1,-0.066579,8,7,1.478,81.692,0.215,0.21,0.10252,7.98,0.818,5.96,2.07%,90.00%,Farm Products,2880999936,1.42,0.452,2.1,0.071729995,0.2556,109.831,Consumer Defensive,10,5813960,7078572,1.79,7.796
NFX,6.329467,0.689,5," 387,000,000.00 ",1,1.661779,7,2,0.72,148.476,0.204,0.214,0.44178,7.784,3.439,4.31,0.57%,102.79%,Oil & Gas E&P,387000000,0.25,0.61,2.1,0.05469,0.27186,11.063,Energy,7,7747609,7952964,2.84,1.93
CBOE,20.826447,0.042,6," 514,000,000.00 ",2,0.534009,7,7,0.859,38.433,0.217,0.22,0.29194,15.616,4.559,4.84,0.96%,84.79%,Financial Exchanges,514000000,1.56,0.84,2.4,0.06824,0.17317,23.851,Financial Services,5,2351494,2605189,2.99,4.555
FTV,22.1,0.139,8," 1,160,700,032.00 ",1,0.675,9,5,1.959,66.054,0.221,0.229,0.23535,18.35,4.319,3.8,11.72%,85.05%,Scientific & Technical Instruments,1160700032,1.93,1.547,2.1,0.088599995,0.26339,20.346,Technology,9,7987670,6499180,4.94,3.279
ROST,21.050549,0.089,6," 1,532,851,968.00 ",2,0.723924,9,4,1.708,12.473,0.268,0.23,0.16419001,14.158,2.325,4.55,2.08%,91.29%,Apparel Stores,1532851968,2.11,0.763,2.1,0.22790001,0.50887,39.26,Consumer Cyclical,4,5146608,4968905,2.23,4.061
ANTM,15.481287,0.023,6," 4,343,499,776.00 ",1,1.051424,3,4,1.525,69.312,0.259,0.232,0.067150004,10.616,0.713,17.1,0.17%,90.31%,Health Care Plans,4343499776,1.1,1.366,1.9,0.048299998,0.1575,351.225,Healthcare,9,3995875,3842782,3.75,16.432
DIS,15.158322,0.07,8," 12,023,000,064.00 ",1,1.254999,5,10,0.877,46.229,0.291,0.232,0.30087999,10.958,3.297,7.39,4.47%,65.14%,Media - Diversified,12023000064,1.44,0.712,2.4,0.094610006,0.25729,38.323,Consumer Cyclical,3,29278362,26534390,3.67,7.921
SBUX,20.246212,0.115,3," 4,551,399,936.00 ",1,0.578637,6,5,1.006,170.113,0.298,0.233,0.20993,15.105,3.171,2.64,2.96%,74.72%,Restaurants,4551399936,1.59,0.682,2.3,0.15100999,0.92447996,17.124,Consumer Cyclical,2,26824990,27147718,2.54,3.203
BZUN,30.508572,0.305,," 33,467,512.00 ",,3.899047,,,2.124,9.019,0.235,0.235,0.07675,59.765,4.587,1.75,0.00%,63.09%,Specialty Retail,33467512,43.89,1.392,2,0.06436,0.12401,12.443,Consumer Cyclical,,6768410,6193890,3.4,0.568
AIMC,12.436305,0.063,2," 53,725,000.00 ",1,1.541883,6,1,2.576,67.088,0.226,0.236,0.14374,10.3,1.481,3.14,2.45%,105.14%,Diversified Industrials,53725000,1,1.342,1.5,0.06501,0.13746001,31.514,Industrials,3,655311,572668,4.74,1.84
AOS,19.822525,0.129,10," 329,700,000.00 ",1,1.48669,10,5,2.151,14.338,0.245,0.239,0.19761999,15.421,3.047,2.93,0.91%,94.69%,Diversified Industrials,329700000,1.98,1.694,2,0.113129996,0.19719,18.284,Industrials,10,5928488,5410748,3.87,1.897
NOC,15.7017355,0.1,1," 2,238,000,128.00 ",1,0.712863,3,1,1.241,183.919,0.244,0.241,0.15287,15.96,2.44,19.01,0.51%,82.33%,Aerospace & Defense,2238000128,1.11,1.101,2,0.07022,0.31641,153.653,Industrials,3,1797828,1575211,1.34,12.757
TRN,18.474226,0.041,1," 694,700,032.00 ",1,2.22483,4,3,2.74,69.14,0.303,0.254,0.20313999,11.136,2.262,1.94,1.83%,86.12%,Railroads,694700032,2.23,1.606,1.9,0.029289998,0.15918,24.77,Industrials,1,5289283,5335843,3.39,4.581
BLK,15.717192,0.114,3," 5,418,999,808.00 ",1,1.609735,3,4,1.351,15.193,0.273,0.256,0.44521,12.355,5.501,30.48,3.74%,85.09%,Asset Management,5418999808,1.26,0.445,1.9,0.01732,0.17358999,82.751,Financial Services,4,1006764,1246167,1.37,33.162
TIF,22.62915,0.121,7," 449,200,000.00 ",2,1.693651,8,6,6.045,31.636,0.272,0.258,0.24247,14.495,3.514,5.42,0.92%,91.40%,Luxury Goods,449200000,2.33,1.673,2.4,0.10244001,0.14422,35.613,Consumer Cyclical,7,3892235,3781118,3.21,3.608
OC,9.044728,0.142,1," 305,000,000.00 ",1,1.076635,3,1,1.593,87.377,0.271,0.26,0.15548,9.25,1.438,6.26,1.34%,99.73%,Building Materials,305000000,0.61,0.794,2.3,0.044359997,0.075040005,61.422,Basic Materials,4,4457182,5069790,2.09,2.704
PFE,13.436893,0.044,1," 22,545,000,448.00 ",2,0.957756,5,1,1.16,58.509,0.274,0.26,0.40328997,12.633,5.095,3.11,0.04%,72.66%,Drug Manufacturers - Major,22545000448,1.95,0.838,2.8,0.05731,0.35081002,8.972,Healthcare,1,52192249,57638413,2.41,3.744
RCL,12.160714,0.065,7," 1,725,828,992.00 ",1,1.416469,7,6,0.2,79.555,0.281,0.262,0.30941,12.424,3.844,10.08,20.52%,73.00%,Leisure,1725828992,1.06,0.068,1.7,0.048600003,0.16872999,41.93,Consumer Cyclical,8,3506689,3224065,2.06,8.041
HPQ,11.307339,0.117,4," 4,536,000,000.00 ",2,1.757212,1,6,0.854,,0.317,0.264,0.08314,8.279,0.688,2.18,0.17%,82.70%,Computer Systems,4536000000,1.25,0.566,2.1,0.08051,,34.824,Technology,4,18309622,24879010,3.34,2.742
AMAT,9.755102,0.193,1," 3,419,000,064.00 ",1,1.326634,2,1,2.519,77.773,0.376,0.268,0.30916,8.213,2.539,4.41,0.35%,78.72%,Semiconductor Equipment & Materials,3419000064,0.56,1.589,1.9,0.16497,0.44,16.618,Technology,3,13409550,15061436,1.41,3.265
WUBA,22.245615,0.323,," 247,335,776.00 ",,1.601755,,,1.28,3.636,0.251,0.271,0.22793,26.756,6.098,3.42,4.85%,74.48%,Internet Content & Information,247335776,0.68,1.026,1.9,0.04603,0.08167,11.801,Technology,,2504957,2642105,2.26,1.662
CMCSA,13.258065,0.021,10," 23,953,999,872.00 ",1,1.364863,7,8,0.958,88.362,0.327,0.276,0.32563,8.078,2.63,2.79,0.68%,83.75%,Pay TV,23953999872,0.89,0.767,2,0.059759997,0.36947,18.76,Communication Services,10,62178138,71552338,3.1,5.088
UNH,18.65601,0.121,1," 11,859,999,744.00 ",1,0.757217,5,2,0.706,66.617,0.284,0.279,0.084750004,15.233,1.291,14.39,1.62%,88.19%,Health Care Plans,11859999744,1.37,0.637,1.5,0.069699995,0.24525999,221.177,Healthcare,2,6141661,6410144,2.66,12.013
