,Underlying,timestamp,quarter
990,EMES,2017-11-01,2017-12-31
991,EMES,2018-02-26,2018-03-31
992,EMES,2018-05-01,2018-06-30
993,EMR,2017-08-01,2017-09-30
994,EMR,2017-11-07,2017-12-31
995,EMR,2018-02-06,2018-03-31
996,EMR,2018-05-01,2018-06-30
999,ENB,2017-08-03,2017-09-30
1000,ENB,2017-11-02,2017-12-31
1001,ENBL,2017-08-01,2017-09-30
1002,ENBL,2017-11-01,2017-12-31
1003,ENBL,2018-02-20,2018-03-31
1004,ENBL,2018-05-02,2018-06-30
1005,ENDP,2017-08-08,2017-09-30
1006,ENDP,2017-11-10,2017-12-31
1007,ENDP,2018-02-27,2018-03-31
1008,ENDP,2018-05-08,2018-06-30
1017,ENPH,2017-08-09,2017-09-30
1018,ENPH,2017-11-08,2017-12-31
1019,ENPH,2018-02-28,2018-03-31
1020,ENPH,2018-05-02,2018-06-30
1021,EOG,2017-08-02,2017-09-30
1022,EOG,2017-11-03,2017-12-31
1023,EOG,2018-02-28,2018-03-31
1024,EOG,2018-05-04,2018-06-30
1025,EPD,2017-08-03,2017-09-30
1026,EPD,2017-11-02,2017-12-31
1027,EPD,2018-01-31,2018-03-31
1028,EPD,2018-04-30,2018-06-30
1029,EPR,2017-08-04,2017-09-30
1030,EPR,2017-11-03,2017-12-31
1031,EPR,2018-03-01,2018-03-31
1032,EPR,2018-05-09,2018-06-30
1033,EQT,2017-07-27,2017-09-30
1034,EQT,2017-10-26,2017-12-31
1035,EQT,2018-02-15,2018-03-31
1036,EQT,2018-04-26,2018-06-30
1037,ERIC,2017-07-18,2017-09-30
1038,ERIC,2017-10-20,2017-12-31
1039,ERIC,2018-01-31,2018-03-31
1040,ERIC,2018-04-20,2018-06-30
1045,ESRX,2017-07-27,2017-09-30
1046,ESRX,2017-10-25,2017-12-31
1047,ESRX,2018-02-28,2018-03-31
1048,ESRX,2018-05-03,2018-06-30
1049,ESV,2017-07-27,2017-09-30
1050,ESV,2017-10-26,2017-12-31
1051,ESV,2018-02-27,2018-03-31
1052,ESV,2018-04-26,2018-06-30
1053,ETE,2017-08-09,2017-09-30
1055,ETE,2018-02-22,2018-03-31
1056,ETE,2018-05-10,2018-06-30
1057,ETFC,2017-07-21,2017-09-30
1058,ETFC,2017-10-20,2017-12-31
1059,ETFC,2018-01-26,2018-03-31
1060,ETFC,2018-04-20,2018-06-30
1061,ETM,2017-07-28,2017-09-30
1062,ETM,2017-11-02,2017-12-31
1063,ETM,2018-03-08,2018-03-31
1064,ETM,2018-05-08,2018-06-30
1065,ETN,2017-08-01,2017-09-30
1066,ETN,2017-10-31,2017-12-31
1067,ETN,2018-02-01,2018-03-31
1068,ETN,2018-05-01,2018-06-30
1069,ETP,2017-08-09,2017-09-30
1070,ETP,2017-11-08,2017-12-31
1071,ETP,2018-02-22,2018-03-31
1072,ETP,2018-05-10,2018-06-30
1073,ETSY,2017-08-04,2017-09-30
1074,ETSY,2017-11-07,2017-12-31
1075,ETSY,2018-02-28,2018-03-31
1076,ETSY,2018-05-09,2018-06-30
1077,EW,2017-07-27,2017-09-30
1078,EW,2017-10-25,2017-12-31
1079,EW,2018-02-02,2018-03-31
1080,EW,2018-04-25,2018-06-30
1081,EXAS,2017-07-26,2017-09-30
1082,EXAS,2017-10-31,2017-12-31
1083,EXAS,2018-02-23,2018-03-31
1084,EXAS,2018-04-27,2018-06-30
1085,EXC,2017-08-02,2017-09-30
1086,EXC,2017-11-02,2017-12-31
1087,EXC,2018-02-07,2018-03-31
1088,EXC,2018-05-02,2018-06-30
1089,EXEL,2017-08-03,2017-09-30
1090,EXEL,2017-11-02,2017-12-31
1091,EXEL,2018-02-27,2018-03-31
1092,EXEL,2018-05-03,2018-06-30
1095,EXK,2017-08-03,2017-09-30
1096,EXK,2017-11-02,2017-12-31
1097,EXPE,2017-07-28,2017-09-30
1098,EXPE,2017-10-27,2017-12-31
1099,EXPE,2018-02-09,2018-03-31
1100,EXPE,2018-04-27,2018-06-30
1109,FANG,2017-08-02,2017-09-30
1110,FANG,2017-11-07,2017-12-31
1111,FANG,2018-02-14,2018-03-31
1112,FANG,2018-05-09,2018-06-30
1117,FB,2017-07-27,2017-09-30
1118,FB,2017-11-02,2017-12-31
1119,FB,2018-02-01,2018-03-31
1120,FB,2018-04-26,2018-06-30
1121,FCAU,2017-07-27,2017-09-30
1122,FCAU,2017-11-02,2017-12-31
1123,FCAU,2018-01-25,2018-03-31
1124,FCAU,2018-04-26,2018-06-30
1125,FCEL,2018-01-11,2017-07-31
1126,FCEL,2018-03-08,2017-10-31
1129,FCX,2017-07-25,2017-09-30
1130,FCX,2017-10-25,2017-12-31
1131,FCX,2018-01-25,2018-03-31
1132,FCX,2018-04-24,2018-06-30
1133,FDC,2017-08-07,2017-09-30
1134,FDC,2017-10-30,2017-12-31
1135,FDC,2018-02-12,2018-03-31
1136,FDC,2018-04-30,2018-06-30
1137,FDS,2017-12-19,2017-08-31
1138,FDS,2018-03-27,2017-11-30
1141,FDX,2017-12-20,2017-08-31
1142,FDX,2018-03-21,2017-11-30
1145,FE,2017-07-28,2017-09-30
1146,FE,2017-10-27,2017-12-31
1147,FE,2018-02-21,2018-03-31
1148,FE,2018-04-23,2018-06-30
1149,FEYE,2017-08-02,2017-09-30
1150,FEYE,2017-11-02,2017-12-31
1151,FEYE,2018-02-09,2018-03-31
1152,FEYE,2018-05-03,2018-06-30
1153,FFIV,2017-07-27,2017-09-30
1154,FFIV,2017-10-26,2017-12-31
1155,FFIV,2018-01-25,2018-03-31
1156,FFIV,2018-04-26,2018-06-30
1157,FGEN,2017-08-08,2017-09-30
1158,FGEN,2017-11-09,2017-12-31
1159,FGEN,2018-02-28,2018-03-31
1160,FGEN,2018-05-10,2018-06-30
1161,FIS,2017-08-02,2017-09-30
1162,FIS,2017-10-31,2017-12-31
1163,FIS,2018-02-06,2018-03-31
1164,FIS,2018-05-01,2018-06-30
1165,FIT,2017-08-03,2017-09-30
1166,FIT,2017-11-02,2017-12-31
1167,FIT,2018-02-27,2018-03-31
1168,FIT,2018-05-03,2018-06-30
1170,FITB,2017-10-24,2017-12-31
1186,FLEX,2017-10-27,2017-12-31
1187,FLEX,2018-01-26,2018-03-31
1189,FLR,2017-08-04,2017-09-30
1190,FLR,2017-11-03,2017-12-31
1191,FLR,2018-02-21,2018-03-31
1192,FLR,2018-05-04,2018-06-30
1204,FNV,2017-08-09,2017-09-30
1205,FOLD,2017-08-07,2017-09-30
1206,FOLD,2017-11-08,2017-12-31
1207,FOLD,2018-02-28,2018-03-31
1208,FOLD,2018-05-08,2018-06-30
1209,FOMX,2017-08-09,2017-09-30
1211,FOMX,2018-02-28,2018-03-31
1212,FOMX,2018-05-09,2018-06-30
1213,FOSL,2017-08-09,2017-09-30
1215,FOSL,2018-02-14,2018-03-31
1216,FOSL,2018-05-09,2018-06-30
1217,FOXA,2017-08-10,2017-09-30
1218,FOXA,2017-11-09,2017-12-31
1219,FOXA,2018-02-08,2018-03-31
1220,FOXA,2018-05-10,2018-06-30
1221,FSLR,2017-07-28,2017-09-30
1222,FSLR,2017-10-27,2017-12-31
1223,FSLR,2018-02-23,2018-03-31
1224,FSLR,2018-04-27,2018-06-30
1225,FTI,2017-07-27,2017-09-30
1226,FTI,2017-10-26,2017-12-31
1227,FTI,2018-02-22,2018-03-31
1228,FTI,2018-05-10,2018-06-30
1229,FTK,2017-08-02,2017-09-30
1230,FTK,2017-11-08,2017-12-31
1231,FTK,2018-02-21,2018-03-31
1232,FTK,2018-05-10,2018-06-30
1233,GILD,2017-07-27,2017-09-30
1234,GILD,2017-10-27,2017-12-31
1235,GILD,2018-02-07,2018-03-31
1236,GILD,2018-05-02,2018-06-30
1241,GKOS,2017-08-03,2017-09-30
1242,GKOS,2017-11-08,2017-12-31
1243,GKOS,2018-03-01,2018-03-31
1244,GKOS,2018-05-10,2018-06-30
1246,GLNG,2017-08-17,2017-09-30
1247,GLNG,2017-11-30,2018-03-31
1248,GLNG,2018-02-28,2018-06-30
1250,GLOG,2017-08-03,2017-09-30
1251,GLOG,2017-11-02,2017-12-31
1252,GLOG,2018-02-16,2018-03-31
1253,GLOG,2018-05-04,2018-06-30
1254,GPRO,2017-08-04,2017-09-30
1255,GPRO,2017-11-02,2017-12-31
1256,GPRO,2018-02-02,2018-03-31
1257,GPRO,2018-05-04,2018-06-30
1262,GRA,2017-07-27,2017-09-30
1263,GRA,2017-10-25,2017-12-31
1264,GRA,2018-02-08,2018-03-31
1265,GRA,2018-04-25,2018-06-30
1266,GRMN,2017-08-02,2017-09-30
1268,GRMN,2018-02-21,2018-03-31
1269,GRMN,2018-05-02,2018-06-30
1270,GRPN,2017-08-02,2017-09-30
1271,GRPN,2017-11-01,2017-12-31
1272,GRPN,2018-02-14,2018-03-31
1273,GRPN,2018-05-09,2018-06-30
1274,HES,2017-07-26,2017-09-30
1275,HES,2017-10-25,2017-12-31
1276,HES,2018-02-05,2018-03-31
1277,HES,2018-04-25,2018-06-30
1278,HFC,2017-08-02,2017-09-30
1279,HFC,2017-11-01,2017-12-31
1280,HFC,2018-02-21,2018-03-31
1281,HFC,2018-05-02,2018-06-30
1282,HIG,2017-07-28,2017-09-30
1283,HIG,2017-10-27,2017-12-31
1284,HIG,2018-02-09,2018-03-31
1285,HIG,2018-04-27,2018-06-30
1286,HIMX,2017-08-03,2017-09-30
1287,HIMX,2017-11-09,2017-12-31
1288,HIMX,2018-02-13,2018-03-31
1289,HIMX,2018-05-10,2018-06-30
1290,HK,2017-08-03,2017-09-30
1292,HK,2018-03-01,2018-03-31
1293,HK,2018-05-03,2018-06-30
1299,HSY,2017-10-26,2017-12-31
1303,HTHT,2017-08-17,2017-09-30
1304,HTHT,2017-11-29,2018-03-31
1305,HTHT,2018-03-14,2018-06-30
1307,HTZ,2017-08-09,2017-09-30
1308,HTZ,2017-11-10,2017-12-31
1309,HTZ,2018-02-28,2018-03-31
1310,HTZ,2018-05-08,2018-06-30
1311,HUBS,2017-08-03,2017-09-30
1312,HUBS,2017-11-02,2017-12-31
1313,HUBS,2018-02-14,2018-03-31
1314,HUBS,2018-05-11,2018-06-30
1315,HUM,2017-08-02,2017-09-30
1316,HUM,2017-11-08,2017-12-31
1317,HUM,2018-02-07,2018-03-31
1318,HUM,2018-05-02,2018-06-30
1319,HUN,2017-07-27,2017-09-30
1320,HUN,2017-10-27,2017-12-31
1321,HUN,2018-02-23,2018-03-31
1322,HUN,2018-05-01,2018-06-30
1323,HZNP,2017-08-07,2017-09-30
1324,HZNP,2017-11-06,2017-12-31
1325,HZNP,2018-02-28,2018-03-31
1326,HZNP,2018-05-09,2018-06-30
1327,I,2017-07-27,2017-09-30
1328,I,2017-10-26,2017-12-31
1329,I,2018-02-26,2018-03-31
1330,I,2018-05-01,2018-06-30
1331,IAC,2017-08-03,2017-09-30
1332,IAC,2017-11-09,2017-12-31
1333,IAC,2018-02-08,2018-03-31
1334,IAC,2018-05-10,2018-06-30
1335,IBKR,2017-07-19,2017-09-30
1336,IBKR,2017-10-18,2017-12-31
1337,IBKR,2018-01-17,2018-03-31
1338,IBKR,2018-04-18,2018-06-30
1339,IBM,2017-07-19,2017-09-30
1340,IBM,2017-10-18,2017-12-31
1341,IBM,2018-01-19,2018-03-31
1342,IBM,2018-04-18,2018-06-30
1343,ICE,2017-08-03,2017-09-30
1344,ICE,2017-11-02,2017-12-31
1345,ICE,2018-02-07,2018-03-31
1347,IONS,2017-08-08,2017-09-30
1348,IONS,2017-11-07,2017-12-31
1349,IONS,2018-02-27,2018-03-31
1350,IONS,2018-05-04,2018-06-30
1355,IP,2017-07-27,2017-09-30
1356,IP,2017-10-25,2017-12-31
1357,IP,2018-02-01,2018-03-31
1358,IP,2018-04-26,2018-06-30
1359,IPGP,2017-08-01,2017-09-30
1360,IPGP,2017-10-31,2017-12-31
1361,IPGP,2018-02-16,2018-03-31
1362,IPGP,2018-05-01,2018-06-30
1367,JD,2017-08-14,2017-09-30
1372,JNJ,2017-10-17,2017-12-31
1375,JNPR,2017-07-26,2017-09-30
1376,JNPR,2017-10-25,2017-12-31
1377,JNPR,2018-01-31,2018-03-31
1378,JNPR,2018-05-02,2018-06-30
1381,JOE,2017-03-03,2017-09-30
1382,JOE,2017-05-05,2018-06-30
1391,KKR,2017-07-27,2017-09-30
1392,KKR,2017-10-26,2017-12-31
1393,KKR,2018-02-08,2018-03-31
1394,KKR,2018-05-03,2018-06-30
1395,KLAC,2017-07-28,2017-09-30
1396,KLAC,2017-10-27,2017-12-31
1397,KLAC,2018-01-26,2018-03-31
1398,KLAC,2018-04-27,2018-06-30
1399,KMB,2017-07-25,2017-09-30
1400,KMB,2017-10-23,2017-12-31
1401,KMB,2018-01-23,2018-03-31
1402,KMB,2018-04-23,2018-06-30
1403,KMI,2017-07-20,2017-09-30
1404,KMI,2017-10-19,2017-12-31
1405,KMI,2018-01-18,2018-03-31
1406,KMI,2018-04-19,2018-06-30
1415,KSU,2017-07-21,2017-09-30
1416,KSU,2017-10-20,2017-12-31
1417,KSU,2018-01-19,2018-03-31
1418,KSU,2018-04-20,2018-06-30
1419,KTWO,2017-08-02,2017-09-30
1420,KTWO,2017-11-02,2017-12-31
1421,KTWO,2018-03-01,2018-03-31
1422,KTWO,2018-05-02,2018-06-30
1428,LC,2017-08-08,2017-09-30
1429,LC,2017-11-08,2017-12-31
1430,LC,2018-02-21,2018-03-31
1431,LC,2018-05-09,2018-06-30
1432,LCI,2017-08-24,2017-09-30
1433,LCI,2017-11-07,2017-12-31
1434,LCI,2018-02-08,2018-03-31
1435,LCI,2018-05-08,2018-06-30
1440,LEA,2017-07-26,2017-09-30
1441,LEA,2017-10-25,2017-12-31
1442,LEA,2018-01-26,2018-03-31
1443,LEA,2018-04-26,2018-06-30
1444,LEN,2017-06-20,2017-08-31
1445,LEN,2017-10-03,2017-11-30
1446,LEN,2018-01-10,2018-02-28
1447,LEN,2018-04-04,2018-05-31
1448,LITE,2017-08-09,2017-09-30
1450,LITE,2018-02-06,2018-03-31
1451,LITE,2018-05-02,2018-06-30
1452,LL,2017-08-01,2017-09-30
1453,LL,2017-10-31,2017-12-31
1454,LL,2018-02-27,2018-03-31
1455,LL,2018-05-01,2018-06-30
1456,LLY,2017-07-25,2017-09-30
1457,LLY,2017-10-24,2017-12-31
1458,LLY,2018-01-31,2018-03-31
1459,LLY,2018-04-24,2018-06-30
1460,LM,2017-07-27,2017-09-30
1461,LM,2017-10-26,2017-12-31
1462,LM,2018-01-25,2018-03-31
1463,LM,2018-04-26,2018-06-30
1468,LNG,2017-08-08,2017-09-30
1469,LNG,2017-11-14,2017-12-31
1470,LNG,2018-02-21,2018-03-31
1471,LNG,2018-05-04,2018-06-30
1472,LOGI,2017-07-25,2017-09-30
1473,LOGI,2017-10-24,2017-12-31
1474,LOGI,2018-01-23,2018-03-31
1475,LOGI,2018-05-03,2018-06-30
1476,LOGM,2017-07-28,2017-09-30
1477,LOGM,2017-10-27,2017-12-31
1478,LOGM,2018-02-16,2018-03-31
1479,LOGM,2018-04-27,2018-06-30
1486,LPCN,2018-03-08,2018-03-31
1488,LPX,2017-08-01,2017-09-30
1489,LPX,2017-11-06,2017-12-31
1490,LPX,2018-02-13,2018-03-31
1491,LPX,2018-05-07,2018-06-30
1496,MAR,2017-08-08,2017-09-30
1497,MAR,2017-11-08,2017-12-31
1498,MAR,2018-02-15,2018-03-31
1499,MAR,2018-05-09,2018-06-30
1500,MAT,2017-07-28,2017-09-30
1501,MAT,2017-10-27,2017-12-31
1502,MAT,2018-02-02,2018-03-31
1503,MAT,2018-04-27,2018-06-30
1504,MBI,2017-08-09,2017-09-30
1506,MBI,2018-03-02,2018-03-31
1507,MBI,2018-05-10,2018-06-30
1508,MCD,2017-07-25,2017-09-30
1509,MCD,2017-10-24,2017-12-31
1510,MCD,2018-01-30,2018-03-31
1511,MCD,2018-04-30,2018-06-30
1516,MDU,2017-08-02,2017-09-30
1517,MDU,2017-11-02,2017-12-31
1518,MDU,2018-02-07,2018-03-31
1519,MDU,2018-05-03,2018-06-30
1520,MDXG,2016-10-27,2016-12-31
1521,MDXG,2017-02-23,2017-03-31
1522,MDXG,2017-04-28,2017-06-30
1523,MDXG,2017-07-27,2017-09-30
1524,MEET,2017-08-04,2017-09-30
1525,MEET,2017-11-09,2017-12-31
1526,MEET,2018-03-08,2018-03-31
1527,MEET,2018-05-03,2018-06-30
1528,MELI,2017-08-04,2017-09-30
1529,MELI,2017-11-03,2017-12-31
1530,MELI,2018-02-23,2018-03-31
1531,MELI,2018-05-04,2018-06-30
1532,MET,2017-08-03,2017-09-30
1533,MET,2017-11-02,2017-12-31
1536,MOMO,2017-08-22,2017-09-30
1537,MOMO,2017-11-28,2017-12-31
1538,MOMO,2018-03-07,2018-03-31
1539,MOMO,2018-05-29,2018-06-30
1540,MOS,2017-08-01,2017-09-30
1541,MOS,2017-10-31,2017-12-31
1542,MOS,2018-02-20,2018-03-31
1543,MOS,2018-05-08,2018-06-30
1548,MPLX,2017-07-27,2017-09-30
1549,MPLX,2017-10-26,2017-12-31
1550,MPLX,2018-02-01,2018-03-31
1551,MPLX,2018-05-01,2018-06-30
1552,MRK,2017-07-28,2017-09-30
1554,MRK,2018-02-02,2018-03-31
1555,MRK,2018-05-01,2018-06-30
1556,NCLH,2017-08-08,2017-09-30
1557,NCLH,2017-11-09,2017-12-31
1558,NCLH,2018-02-22,2018-03-31
1559,NCLH,2018-05-02,2018-06-30
1560,NCR,2017-07-21,2017-09-30
1561,NCR,2017-10-20,2017-12-31
1562,NCR,2018-02-09,2018-03-31
1563,NCR,2018-05-02,2018-06-30
1568,NE,2017-08-04,2017-09-30
1569,NE,2017-11-03,2017-12-31
1570,NE,2018-02-22,2018-03-31
1571,NE,2018-05-03,2018-06-30
1572,NEE,2017-07-26,2017-09-30
1573,NEE,2017-10-26,2017-12-31
1574,NEE,2018-01-26,2018-03-31
1575,NEE,2018-04-24,2018-06-30
1576,NOK,2017-07-27,2017-09-30
1577,NOK,2017-10-26,2017-12-31
1578,NOK,2018-02-01,2018-03-31
1579,NOK,2018-04-27,2018-06-30
1580,NOV,2017-07-28,2017-09-30
1581,NOV,2017-10-27,2017-12-31
1582,NOV,2018-02-06,2018-03-31
1583,NOV,2018-04-27,2018-06-30
1584,NOW,2017-07-27,2017-09-30
1585,NOW,2017-10-26,2017-12-31
1586,NOW,2018-02-01,2018-03-31
1587,NOW,2018-04-26,2018-06-30
1588,NRG,2017-08-03,2017-09-30
1590,NRG,2018-03-01,2018-03-31
1591,NRG,2018-05-03,2018-06-30
1592,NRZ,2017-07-31,2017-09-30
1593,NRZ,2017-10-27,2017-12-31
1594,NRZ,2018-04-27,2018-03-31
1600,OAS,2017-08-03,2017-09-30
1601,OAS,2017-11-08,2017-12-31
1602,OAS,2018-02-28,2018-03-31
1603,OAS,2018-05-08,2018-06-30
1604,OC,2017-07-26,2017-09-30
1605,OC,2017-10-25,2017-12-31
1606,OC,2018-02-21,2018-03-31
1607,OC,2018-04-25,2018-06-30
1608,OCLR,2017-08-03,2017-09-30
1610,OCLR,2018-02-06,2018-03-31
1612,P,2017-08-01,2017-09-30
1613,P,2017-11-03,2017-12-31
1614,P,2018-02-22,2018-03-31
1615,P,2018-05-04,2018-06-30
1616,PAA,2017-08-08,2017-09-30
1618,PAA,2018-02-07,2018-03-31
1619,PAA,2018-05-09,2018-06-30
1620,PACB,2017-08-03,2017-09-30
1621,PACB,2017-11-03,2017-12-31
1622,PACB,2018-02-02,2018-03-31
1623,PACB,2018-05-03,2018-06-30
1624,PAH,2017-08-09,2017-09-30
1625,PAH,2017-11-02,2017-12-31
1626,PAH,2018-02-27,2018-03-31
1627,PAH,2018-05-03,2018-06-30
1628,PAM,2018-03-13,2017-09-30
1632,PANW,2017-06-01,2017-07-31
1633,PANW,2017-09-01,2017-10-31
1634,PANW,2017-11-21,2018-01-31
1635,PANW,2018-02-27,2018-04-30
1636,PAYC,2017-08-02,2017-09-30
1637,PAYC,2017-11-01,2017-12-31
1638,PAYC,2018-02-07,2018-03-31
1639,PAYC,2018-05-02,2018-06-30
1640,PAYX,2017-06-28,2017-08-31
1641,PAYX,2017-10-03,2017-11-30
1642,PAYX,2017-12-21,2018-02-28
1643,PAYX,2018-03-26,2018-05-31
1644,PBI,2017-08-01,2017-09-30
1645,PBI,2017-11-01,2017-12-31
1646,PBI,2018-01-31,2018-03-31
1648,PBR,2017-08-11,2017-09-30
1649,PBR,2017-11-14,2017-12-31
1650,PBR,2018-03-15,2018-03-31
1652,PBYI,2017-08-10,2017-09-30
1653,PBYI,2017-11-10,2017-12-31
1654,PBYI,2018-03-02,2018-03-31
1655,PBYI,2018-05-10,2018-06-30
1656,PCG,2017-07-27,2017-09-30
1657,PCG,2017-11-02,2017-12-31
1658,PCG,2018-02-09,2018-03-31
1659,PCG,2018-05-03,2018-06-30
1660,PII,2017-07-20,2017-09-30
1661,PII,2017-10-24,2017-12-31
1662,PII,2018-01-30,2018-03-31
1663,PII,2018-04-24,2018-06-30
1676,PWR,2017-08-03,2017-09-30
1677,PWR,2017-11-02,2017-12-31
1678,PWR,2018-02-22,2018-03-31
1679,PWR,2018-05-03,2018-06-30
1680,PX,2017-07-27,2017-09-30
1681,PX,2017-10-26,2017-12-31
1682,PX,2018-01-25,2018-03-31
1683,PX,2018-04-26,2018-06-30
1684,PXD,2017-08-02,2017-09-30
1685,PXD,2017-11-02,2017-12-31
1686,PXD,2018-02-07,2018-03-31
1687,PXD,2018-05-03,2018-06-30
1688,PYPL,2017-07-27,2017-09-30
1689,PYPL,2017-10-20,2017-12-31
1690,PYPL,2018-02-01,2018-03-31
1691,PYPL,2018-04-26,2018-06-30
1693,PZZA,2017-11-01,2017-12-31
1700,QDEL,2017-07-27,2017-09-30
1702,QDEL,2018-02-22,2018-03-31
1703,QDEL,2018-05-09,2018-06-30
1704,QLYS,2017-08-03,2017-09-30
1705,QLYS,2017-11-01,2017-12-31
1706,QLYS,2018-02-13,2018-03-31
1707,QLYS,2018-05-02,2018-06-30
1708,QNST,2017-08-08,2017-09-30
1709,QNST,2017-10-31,2017-12-31
1710,QNST,2018-02-01,2018-03-31
1711,QNST,2018-04-25,2018-06-30
1715,RIGL,2018-05-02,2018-06-30
1716,RL,2017-08-08,2017-09-30
1718,RL,2018-02-01,2018-03-31
1719,RL,2018-05-23,2018-06-30
1720,RMTI,2017-08-10,2017-09-30
1721,RMTI,2017-11-09,2017-12-31
1722,RMTI,2018-03-16,2018-03-31
1723,RMTI,2018-05-11,2018-06-30
1724,SAP,2017-07-20,2017-09-30
1725,SAP,2017-10-19,2017-12-31
1726,SAP,2018-01-30,2018-03-31
1727,SAP,2018-04-24,2018-06-30
1729,SBUX,2017-11-03,2017-12-31
1732,SCHW,2017-07-18,2017-09-30
1733,SCHW,2017-10-16,2017-12-31
1734,SCHW,2018-01-17,2018-03-31
1735,SCHW,2018-04-16,2018-06-30
1736,SEAS,2017-08-08,2017-09-30
1737,SEAS,2017-11-07,2017-12-31
1738,SEAS,2018-02-27,2018-03-31
1739,SEAS,2018-05-08,2018-06-30
1740,SEDG,2017-11-09,2017-09-30
1741,SEDG,2018-02-15,2017-12-31
1742,SEDG,2018-05-10,2018-03-31
1744,SHPG,2017-08-03,2017-09-30
1745,SHPG,2017-10-27,2017-12-31
1746,SHPG,2018-02-14,2018-03-31
1747,SHPG,2018-04-26,2018-06-30
1748,SHW,2017-07-20,2017-09-30
1749,SHW,2017-10-24,2017-12-31
1750,SHW,2018-01-25,2018-03-31
1751,SHW,2018-04-24,2018-06-30
1760,SNE,2017-08-01,2017-09-30
1761,SNE,2017-10-31,2017-12-31
1762,SNE,2018-02-02,2018-03-31
1763,SNE,2018-04-27,2018-06-30
1764,SNH,2017-08-03,2017-09-30
1766,SNH,2018-02-27,2018-03-31
1767,SNH,2018-05-10,2018-06-30
1768,SNPS,2017-08-17,2017-10-31
1769,SNPS,2017-11-30,2018-01-31
1770,SNPS,2018-02-22,2018-04-30
1771,SNPS,2018-05-24,2018-07-31
1772,STMP,2017-08-03,2017-09-30
1773,STMP,2017-11-03,2017-12-31
1774,STMP,2018-02-22,2018-03-31
1775,STMP,2018-05-04,2018-06-30
1776,STNG,2017-11-16,2017-09-30
1777,STNG,2018-02-14,2017-12-31
1778,STNG,2018-04-25,2018-03-31
1784,STZ,2017-06-29,2017-08-31
1785,STZ,2017-10-05,2017-11-30
1786,STZ,2018-01-05,2018-02-28
1787,STZ,2018-03-29,2018-05-31
1790,SU,2017-08-02,2017-09-30
1791,SU,2017-10-26,2017-12-31
1792,SUM,2017-08-02,2017-09-30
1794,SUM,2018-02-14,2018-03-31
1795,SUM,2018-05-08,2018-06-30
1800,SWK,2017-07-24,2017-09-30
1802,SWK,2018-01-24,2018-03-31
1803,SWK,2018-04-20,2018-06-30
1808,SWN,2017-08-04,2017-09-30
1810,SWN,2018-04-27,2018-03-31
1816,SYK,2017-07-28,2017-09-30
1817,SYK,2017-10-27,2017-12-31
1818,SYK,2018-01-31,2018-03-31
1819,SYK,2018-04-27,2018-06-30
1824,SYNA,2017-08-04,2017-09-30
1825,SYNA,2017-11-08,2017-12-31
1826,SYNA,2018-02-08,2018-03-31
1827,SYNA,2018-05-10,2018-06-30
1828,SYY,2017-08-14,2017-09-30
1830,SYY,2018-02-05,2018-03-31
1831,SYY,2018-05-07,2018-06-30
1832,T,2017-07-26,2017-09-30
1833,T,2017-10-25,2017-12-31
1834,T,2018-02-01,2018-03-31
1835,T,2018-04-26,2018-06-30
1838,TAHO,2017-08-09,2017-09-30
1839,TAHO,2017-11-07,2017-12-31
1848,TCX,2017-08-09,2017-09-30
1849,TCX,2017-11-10,2017-12-31
1850,TCX,2018-02-13,2018-03-31
1851,TCX,2018-05-10,2018-06-30
1854,TD,2017-08-31,2017-10-31
1856,TDG,2017-08-08,2017-09-30
1858,TDG,2018-02-06,2018-03-31
1859,TDG,2018-05-01,2018-06-30
